provider,name,website,investment_term,loans_rate,min_size,max_size,focus,status,country,location,organisation_type,provider_type,region
Big Lottery,Social Incubator Fund,https://www.biglotteryfund.org.uk/socialincubatorfund,,,50000,15000000,"The £10 million Social Incubator Fund is being delivered by the Big Lottery Fund on behalf of the Office for Civil Society (OCS). It aims to help drive a robust pipeline of start-up social ventures into the social investment market, by increasing focus on incubation support, and attracting new incubators into the market. This is not funding for frontline social ventures; the Social Incubator Fund provides grants to social incubators, a portion of which forms an investment book which must be invested in social ventures using non-grant financial structures.
The first round of the Social Incubator Fund launched in July 2012, and was aimed at established social incubators based and operating primarily in England. You can read more hereGoes to different websiteOpens in new window The second round, which was also open to newer social incubators, launched in May 2013. The Social Incubator Fund is currently closed to applications, as all of the initial £10 million allocated to the programme has now been committed. OCS is assessing the impact of the current awards before deciding whether to run a third round.",0,England,NULL,NULL,Grant,United Kingdom
Big Lottery,Awards 4 All England,https://www.biglotteryfund.org.uk/global-content/programmes/england/awards-for-all-england,,,300,10000,"Awards for All gives groups a quick and easy way to get small Lottery grants of between £500 and £10,000. We want to fund projects which address the issues, needs and aspirations of local communities and people. We will fund a wide range of community projects aimed at developing skills, improving health, revitalising the local environment and enabling people to become more active citizens. You can apply at any time and you will normally hear our decision in three months.",1,England,NULL,Non-profit,Grant,United Kingdom
Big Lottery,Awards 4 All Scotland,https://www.biglotteryfund.org.uk/global-content/programmes/scotland/awards-for-all-scotland,,,300,10000,"Awards for All Scotland is an easy way for smaller organisations to get small amounts of funding.
It is focussed on organisations who have not received a grant from the programme in the last three years. 

Awards For All Scotland gives groups a chance to apply for a grant of between £500 and £10,000 for projects that aim to help improve local communities and the lives of people most in need.

You can apply to Awards For All Scotland if you are a not for profit / voluntary or community group, social enterprise, community council, school or statutory body.

We will fund a range of projects which involve bringing local people together, helping people learn, improving local spaces and getting people more active.

The programme is a partnership between the Big Lottery Fund Scotland and sportscotlandGoes to different website.

Before you submit your application to us, please read our blogGoes to different website to help make your application complete. We can only make a decision on your application when it is fully complete.",1,Scotland,NULL,Non-profit,Grant,United Kingdom
Big Lottery,Awards 4 All Wales,https://www.biglotteryfund.org.uk/global-content/programmes/wales/awards-for-all-wales,,,300,5000,"Awards for All provides voluntary and community groups with a quick and easy way to get small National Lottery grants of between £500 and £5,000 for projects which aim to help improve local communities and the lives of people most in need. 
The programme encourages a wide range of community, health, educational and environmental projects.",1,Wales,NULL,Non-profit,Grant,United Kingdom
Big Lottery,Awards 4 All Northern Ireland,https://www.biglotteryfund.org.uk/global-content/programmes/northern-ireland/awards-for-all-northern-ireland,,,300,10000,"Awards for All is a quick and easy way to get small Lottery grants of between £500 and £10,000 for projects that last for a year at most (they can be shorter).
You can apply at any time and you will normally hear our decision around 3 or 4 months after we receive your completed application.

Read the guidance notes to find more about applying. To be able to use the application form you will need an up to date version of Adobe Reader. Then you can download the application form, fill it in, save it, print it, sign it and send it back to us at this address:

Big Lottery Fund
1 Cromac Quay
Cromac Wood
Ormeau Road
Belfast
BT7 2JD

Getting in touch with us:

If you have any questions our Outreach team will be happy to help you.  We are in the office Monday to Friday from 9am to 5pm.  Ring the main office number 028 90551455 and the receptionist will put you through.

Or you can send us an email to enquiries.ni@biglotteryfund.org.uk",1,Ireland,NULL,Non-profit,Grant,United Kingdom
Unltd,Big Venture Challenge,https://unltd.org.uk/bvc/,,,0,0,"Big Venture Challenge supports ambitious social entrepreneurs with access to finance, business support and powerful connections to help them scale their ventures.
Big Venture Challenge is an intensive 12 month programme that is designed to help you raise external investment (debt or equity) of between £50,000 and £500,000. This means working with you to build a compelling growth story, finding investors, making strategic connections and supporting you as an entrepreneur during the journey.

Big Venture Challenge runs themed and regional cohorts every year in order to build deeper, more relevant strategic support networks around each cohort. In 2015 we will have two themed cohorts; Employment and Young People and Education. The regions will be the South West and the East of England.",0,England,South West,Non-profit,Support,United Kingdom
Unltd,Star People,https://unltd.org.uk/starpeople/,,,0,15000,"You are passionate about improving your community and gaining skills for yourself. You live, work, volunteer or have a business in a ‘Big Local’ area (click here for a full list). If you don’t live in one of these areas you should click here to see other support options.
You know your local area, the challenges it faces and the opportunities. You have a great idea that will be of benefit to your community.

You could be at any stage of your journey, you need some help to make sure that this is the right decision, to create a plan for how it will happen, and then to do it.

Here is how we can help:

1) Try It Awards
Offer small amounts of funding of up to £500 for individuals to try out their ideas to improve their local area. This might mean learning more about what is needed in the area or trying the project on a small scale.

2) Do It Awards
Are up to £5,000 with an average Award size of £2,500. Star People who have completed Try It Awards may now feel confident enough to be able to develop their project. Other people may come straight in at this level as they demonstrate they have the energy and skills to take forward an idea that has some project planning already in place.

3) Build It Awards
in exceptional cases we will offer up to £15,000 of funding to individuals who have an established social venture or community project or who have the potential to develop rapidly.",1,England,NULL,Non-profit,Grant,United Kingdom
Unltd,Social Switch On,https://unltd.org.uk/socialswitchon/,,,0,500,"UnLtd’s Social Switch On programme offers NCS graduates an opportunity to continue your social action journey by supporting you to use your passion, experience and knowledge to design, deliver and lead your own social ventures.
So, if you see yourself as the next big social entrepreneur, UnLtd is here to help you make the switch.

We can support you with a £500 cash Award.
We can enable you to turn your passion into a project.
We can start you off on your journey from social action to becoming a ‘social entrepreneur’.
We can help you think about earning money to live while making a social difference.",0,England,NULL,Non-profit,Grant,United Kingdom
Unltd,Appetite for Change,https://unltd.org.uk/appetiteforchange/,,,500,15000,"You live in Cornwall or Devon and you have an exciting idea that can help transform your community through foodYou have a great idea and innovative approach to growing, sharing, learning or access to quality food
Or you are an existing food based social venture based in Devon or Cornwall who wants to grow",0,England,South West,Non-profit,Grant,United Kingdom
Wales Co-op Centre,Funding Support,http://wales.coop,,,0,0,"We support Wales’ economic growth by providing a comprehensive range of services to co-operatives, mutuals, social enterprises and employee owned businesses. We have been doing so successfully for over thirty years. As well as recognising the value of co-operatives as a business model, we also believe that the principles of co-operation can be applied to the traditional business sector for the benefit of the wider economy. Co-operation can act as a business advantage. As experts in co-operation, we have a role in supporting traditional businesses to gain a co-operative advantage from applying co-operative values and principles to their businesses, for example through consortia working.",1,Wales,NULL,For-profit,Support,United Kingdom
