provider,website,fund_name,region,country,location,organisation_type,provision,investment_term,loans_rate,min_size,max_size,focus,last_updated,status
Big Lottery,https://www.biglotteryfund.org.uk/socialincubatorfund,Social Incubator Fund,United Kingdom,England,,,Grant,,,50000,15000000,This fund is now closed. Six new specialist incubators which will support early-stage social ventures across England.  ,01 February 2015,Closed
Big Lottery,http://www.biglotteryfund.org.uk/funding/funding-finder,Awards 4 All,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,300,10000,"Awards for All gives groups a quick and easy way to get small Lottery grants of between £500 and £10,000. You can apply at any time and you will normally hear our decision in three months. ",01 December 2014,Open
Big Lottery,https://unltd.org.uk/bvc/,Big Venture Challenge,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,50000,500000,"a co-investment programme for social ventures delivered by UnLtd, Clearly So, the Social Investment Business and the Shaftesbury Partnership. In the first year, £1.7m of co-investment from BVC unlocked £3.8m of external social investment from over 80 different investors. Currently closed – reopening January 2015 with a focus on social ventures working in the South West and East, and those working in the area of Employment and Young People & Education. ",01 December 2014,Open
Unltd,https://unltd.org.uk/starpeople/,Star People,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Support,,,,,"You live in a 'Big Local Area' and want to improve it
You know your community, the challenges and opportunities it faces
You want to gain skills and experience for yourself ",01 December 2014,Open
Unltd,https://unltd.org.uk/socialswitchon/,Social Switch On,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,500,"UnLtd’s Social Switch On programme offers NCS graduates an opportunity to continue your social action journey by supporting you to use your passion, experience and knowledge to design, deliver and lead your own social ventures ",01 December 2014,Open
Unltd,https://unltd.org.uk/seechange/,SEE Change,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,,"You’re a member of university staff, a current student or a recent graduate
You have an idea that will create social impact
You’re ready to try your idea, do it full-time or build it up ",01 December 2014,Open
Unltd,https://unltd.org.uk/spark/,Spark,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,,"You wish to pass your experience and skills onto others
You believe in collaboration & the power of social entrepreneurs coming together for greater collective impact
You need a small amount of money to get your idea off the ground ",01 December 2014,Open
Unltd,https://unltd.org.uk/appetiteforchange/,Appetite for Change,United Kingdom,England,South West,Non-profit,Grant,,,500,15000,"You live in Cornwall or Devon and you have an exciting idea that can help transform your community through food
You have a great idea and innovative approach to growing, sharing, learning or access to quality food
Or you are an existing food based social venture based in Devon or Cornwall who wants to grow ",01 December 2014,Open
Wales Co-op Centre,http://www.walescooperative.org/sources-of-funding-for-social-enterprises,Funding Database,United Kingdom,Wales,,"For-profit, non-profit",Support,,,,, ,01 December 2014,Open
Business Wales – Finance Locator,http://business.wales.gov.uk/zones/business-finance/funding-search-tool,Funding Database,United Kingdom,Wales,,"For-profit, non-profit",Support,,,,, ,01 December 2014,Open
NI finance guide,http://secure.investni.com/static/library/invest-ni/documents/social-enterprise-financial-support-oct-11-rbt.pdf,Funding Database,United Kingdom,,,"For-profit, non-profit",Support,,,,, ,01 December 2014,Open
Funding Central,http://www.fundingcentral.org.uk/default.aspx,Funding Database,United Kingdom,,,"For-profit, non-profit",Support,,,,, ,01 December 2014,Open
Directory of BSC Intermediaries – loads of info.,http://www.bigsocietycapital.com/finding-the-right-investment/grant,Funding Database,United Kingdom,,,"For-profit, non-profit",Support,,,,, ,01 December 2014,Open
EU funded grants programmes,http://ec.europa.eu/enterprise/newsroom/cf/itemdetail.cfm?item_id=3537&tpa_id=201&lang=en,Funding Database,United Kingdom,,,"For-profit, non-profit",Support,,,,, ,01 December 2014,Open
Ashoka Changemaker Toolbox – HUGE!,http://uk.ashoka.org/changemaker-toolbox,Funding Database,United Kingdom,,,"For-profit, non-profit",Support,,,,, ,01 December 2014,Open
UK Government,http://data.gov.uk/dataset/social-investment-and-foundations,Social Investment & Foundations Open Data,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit",Support,,,,,"A list detailing social investments made by a number of UK charitable foundations. This list includes data from the following three foundations: Panahpur, The LankellyChase Foundation, and The Barrow Cadbury Trust. This data represents a snapshot of the current market. ",01 December 2014,Open
Social Impact Investors Group,,Social Impact Investors Group,United Kingdom,England,"East England, South West",,Support,,,,,"a sector specific forum for foundations to come together to share knowledge and to learn about social investment. A number of proposals that have presented to the SIIG have gone on to raise investment, such as the £5m Greenwich Leisure Limited Bond, which was also supported through the ICRF. ",01 December 2014,Open
Big Society Capital,http://www.bigsocietycapital.com/apply-us,Social Investment,United Kingdom,"England, Scotland, Wales, Ireland",,Intermediary,"Loans, Equity",,,500000,15000000, ,01 December 2014,Open
UK Government,http://www.beinvestmentready.org.uk/,Investment & Contract Readiness Fund,United Kingdom,"England, Scotland, Wales, Ireland",,,Grant,,,,,"Helps frontline social ventures become investment & contract ready. Example EmPower Community Energy which received £108,000 grant to raise £10.1mn pension investment. ",01 December 2014,Open
UK Government,http://blogs.cabinetoffice.gov.uk/socialimpactbonds/outcomes-fund/,Social Outcomes Fund,United Kingdom,"England, Scotland, Wales, Ireland",,,Grant,,,,,Supports the creation of social impact bonds ,01 December 2014,Open
Big Society Capital,http://www.bigsocietycapital.com/ResearchCouncil,Social Investment Council,United Kingdom,"England, Scotland, Wales, Ireland",,,Support,,,,,The Council’s 2013-14 research programme focuses on improving the understanding of social investment market products and investors  ,01 December 2014,Open
UK Treasury,http://www.hmrc.gov.uk/eis/,Enterprise Investment Tax Relief,United Kingdom,"England, Scotland, Wales, Ireland",,,Legislation,,,,,The Enterprise Investment Scheme (EIS) is designed to help smaller higher-risk trading companies to raise finance by offering a range of tax reliefs to investors who purchase new shares in those companies. ,01 December 2014,Open
UK Treasury,http://www.hmrc.gov.uk/seedeis/,Seed EIS,United Kingdom,"England, Scotland, Wales, Ireland",,,Legislation,,,,,"The Seed Enterprise Investment Scheme (SEIS) is designed to help small, early-stage companies to raise equity finance by offering a range of tax reliefs to individual investors who purchase new shares in those companies. It complements the existing Enterprise Investment Scheme (EIS) which will continue to offer tax reliefs to investors in higher-risk small companies. SEIS is intended to recognise the particular difficulties which very early stage companies face in attracting investment, by offering tax relief at a higher rate than that offered by the existing EIS.
SEIS applies for shares issued on or after 6 April 2012. The rules have been designed to mirror those of EIS as it is anticipated that companies may want to go on to use EIS after an initial investment under SEIS. ",01 December 2014,Open
UK Treasury,http://www.bigsocietycapital.com/social-investment-tax-relief,Social Investment Tax Relief,United Kingdom,"England, Scotland, Wales, Ireland",,Individuals,Legislation,,,,,"SITR is designed to support charities and social enterprises in accessing certain Loans and equity finance from individual investors by offering 30% income tax relief. It is available for investments made on or after 6 April 2014 and is modelled on the existing Enterprise Investment Scheme.

In order to be eligible for SITR, investments must pass 9 simple tests, relating to:

The legal status, size and activities of the charity or social enterprise.
The type and size of the investment, and the availability of other relief.
The nature of the investor. ",01 December 2014,Open
Design Council,http://www.designcouncil.org.uk/,Design Council,United Kingdom,"England, Scotland, Wales, Ireland",,,Support,,,,,In April 2014 produced a joint report into the user journey of ventures accessing social finance. We are now developing interventions based on these insights in collaboration with partners throughout the sector. Social Enterprise UK is also producing an easily accessible guide to social investment support this summer.  ,01 December 2014,Open
Social Enterprise UK,http://buysocialdirectory.org.uk/,Buy Social Directory,United Kingdom,"England, Scotland, Wales, Ireland",,,Support,,,,,"launched the Buy Social Directory in partnership with Social Enterprise UK, the City of London and the Aspire Group. The directory contains 10,000 social enterprises and aims to make it easier for public and private sector organisations to identify products and services to buy from social enterprises.  ",01 December 2014,Open
